Global_Rank_2030,Country Code,Country Name,Region,Composite_Base,Composite_Opt,Composite_Pess,Data_Type
1,GIB,Gibraltar,Other,0.8616,0.8665,0.8567,Estimated
2,KOR,"Korea, Rep.",East Asia,0.7942,0.8148,0.7736,Actual
3,HKG,"Hong Kong SAR, China",Other,0.7906,0.8111,0.7702,Estimated
4,CHE,Switzerland,Europe,0.7858,0.7991,0.7726,Actual
5,JPN,Japan,Other,0.7842,0.8025,0.7658,Estimated
6,AUT,Austria,Europe,0.7831,0.7982,0.7646,Actual
7,MAC,"Macao SAR, China",Other,0.778,0.8294,0.7266,Estimated
8,AUS,Australia,Oceania,0.7767,0.7922,0.7612,Actual
9,CZE,Czechia,Europe,0.7751,0.7926,0.7576,Actual
10,DEU,Germany,Europe,0.7682,0.7849,0.7515,Actual
11,ARE,United Arab Emirates,Middle East,0.7606,0.7929,0.7283,Actual
12,NAC,North America,Other,0.7605,0.7679,0.7531,Estimated
13,USA,United States,North America,0.7604,0.7907,0.7302,Actual
14,NZL,New Zealand,Oceania,0.7505,0.765,0.736,Actual
15,SGP,Singapore,East Asia,0.7496,0.7687,0.7226,Actual
16,CAN,Canada,North America,0.7487,0.7657,0.7318,Actual
17,SVK,Slovak Republic,Europe,0.7468,0.7646,0.7289,Actual
18,NOR,Norway,Europe,0.7459,0.7575,0.7344,Actual
19,PRI,Puerto Rico (US),Other,0.7454,0.7796,0.7112,Estimated
20,SVN,Slovenia,Europe,0.7451,0.7625,0.7278,Actual
21,HIC,High income,Other,0.7447,0.7539,0.7355,Estimated
22,ASM,American Samoa,Other,0.7446,0.7613,0.7279,Estimated
23,SWE,Sweden,Europe,0.7444,0.7585,0.7302,Actual
24,LIE,Liechtenstein,Other,0.7435,0.7536,0.7323,Estimated
25,NCL,New Caledonia,Other,0.7406,0.7708,0.7104,Estimated
26,BLR,Belarus,Europe,0.7405,0.7789,0.7021,Actual
27,PRT,Portugal,Europe,0.74,0.7608,0.7191,Actual
28,EST,Estonia,Europe,0.7389,0.7583,0.7195,Actual
29,SRB,Serbia,Other,0.737,0.7673,0.7032,Estimated
30,GRL,Greenland,Other,0.7369,0.7638,0.7079,Estimated
31,MCO,Monaco,Other,0.7364,0.7985,0.6742,Estimated
32,LTU,Lithuania,Europe,0.7363,0.7582,0.7143,Actual
33,BEL,Belgium,Europe,0.7339,0.752,0.7158,Actual
34,BMU,Bermuda,Other,0.733,0.771,0.6762,Estimated
35,FIN,Finland,Europe,0.7328,0.7491,0.7125,Actual
36,POL,Poland,Europe,0.7316,0.7615,0.7017,Actual
37,CYM,Cayman Islands,Other,0.7313,0.7526,0.6987,Estimated
38,HRV,Croatia,Europe,0.7309,0.7492,0.7059,Actual
39,ROU,Romania,Europe,0.7308,0.7547,0.7069,Actual
40,HUN,Hungary,Europe,0.7296,0.7469,0.7122,Actual
41,DNK,Denmark,Europe,0.7269,0.7461,0.7077,Actual
42,FRA,France,Europe,0.7265,0.748,0.705,Actual
43,LUX,Luxembourg,Europe,0.7256,0.7452,0.7059,Actual
44,RUS,Russian Federation,Europe,0.7254,0.7457,0.6945,Actual
45,NLD,Netherlands,Europe,0.7251,0.7463,0.704,Actual
46,MKD,North Macedonia,Europe,0.7249,0.7484,0.6978,Actual
47,ISL,Iceland,Europe,0.7248,0.7485,0.7011,Actual
48,ESP,Spain,Europe,0.7245,0.7495,0.6996,Actual
49,URY,Uruguay,South America,0.7242,0.754,0.6945,Actual
50,BGR,Bulgaria,Other,0.7241,0.7411,0.7038,Estimated
51,GBR,United Kingdom,Europe,0.724,0.7465,0.7015,Actual
52,AND,Andorra,Other,0.7233,0.7409,0.7057,Estimated
53,MLT,Malta,Europe,0.7214,0.7456,0.6972,Actual
54,GEO,Georgia,Central Asia,0.7207,0.7606,0.6808,Actual
55,ECS,Europe & Central Asia,Other,0.7193,0.7295,0.7044,Estimated
56,FRO,Faroe Islands,Other,0.718,0.7609,0.6651,Estimated
57,BRN,Brunei Darussalam,Other,0.7174,0.7409,0.6939,Estimated
58,CYP,Cyprus,Europe,0.7124,0.741,0.6837,Actual
59,ARG,Argentina,Other,0.712,0.7477,0.6756,Estimated
60,SMR,San Marino,Other,0.7108,0.746,0.6755,Estimated
61,GRC,Greece,Europe,0.7107,0.7391,0.6823,Actual
62,ITA,Italy,Europe,0.7105,0.7394,0.6817,Actual
63,MDA,Moldova,Europe,0.7074,0.7416,0.6733,Actual
64,QAT,Qatar,Other,0.7055,0.7409,0.6679,Estimated
65,PST,Post-demographic dividend,Other,0.7048,0.719,0.6906,Estimated
66,ALB,Albania,Europe,0.7026,0.7339,0.6713,Actual
67,IRL,Ireland,Europe,0.7017,0.7266,0.6768,Actual
68,LVA,Latvia,Europe,0.7012,0.7272,0.6752,Actual
69,CHN,China,East Asia,0.6975,0.7151,0.6798,Actual
70,BRB,Barbados,Other,0.6949,0.7164,0.6602,Estimated
71,UMC,Upper middle income,Other,0.6938,0.7108,0.6767,Estimated
72,UZB,Uzbekistan,Central Asia,0.6924,0.7426,0.6343,Actual
73,TTO,Trinidad and Tobago,Other,0.6887,0.7199,0.6575,Estimated
74,EMU,Euro area,Other,0.6873,0.7037,0.671,Estimated
75,MNG,Mongolia,East Asia,0.6869,0.7235,0.6467,Actual
76,OED,OECD members,Other,0.6866,0.6996,0.6737,Estimated
77,EAS,East Asia & Pacific,Other,0.6859,0.7117,0.6601,Estimated
78,CHL,Chile,South America,0.6819,0.7064,0.6573,Actual
79,EUU,European Union,Other,0.6811,0.6967,0.6656,Estimated
80,TUV,Tuvalu,Other,0.6801,0.7235,0.6367,Estimated
81,CUW,Curacao,Other,0.68,0.7168,0.6432,Estimated
82,BRA,Brazil,South America,0.6795,0.702,0.657,Actual
83,PRY,Paraguay,South America,0.679,0.7079,0.6442,Actual
84,ARM,Armenia,Central Asia,0.6773,0.7203,0.6321,Actual
85,CRI,Costa Rica,Central America & Caribbean,0.6767,0.7013,0.6522,Actual
86,TEC,Europe & Central Asia (IDA & IBRD countries),Other,0.6755,0.7009,0.6501,Estimated
87,VIR,Virgin Islands (U.S.),Other,0.6741,0.7125,0.6358,Estimated
88,PLW,Palau,Other,0.6727,0.7016,0.6438,Estimated
89,ECA,Europe & Central Asia (excluding high income),Other,0.6709,0.6868,0.655,Estimated
90,SAU,Saudi Arabia,Middle East,0.6705,0.701,0.6401,Actual
91,BIH,Bosnia and Herzegovina,Europe,0.6703,0.7109,0.6297,Actual
92,OMN,Oman,Middle East,0.6699,0.7154,0.6244,Actual
93,MAF,St. Martin (French part),Other,0.6685,0.7394,0.5976,Estimated
94,BHS,"Bahamas, The",Other,0.6684,0.6887,0.644,Estimated
95,DMA,Dominica,Other,0.6665,0.7016,0.6314,Estimated
96,TEA,East Asia & Pacific (IDA & IBRD countries),Other,0.6663,0.6969,0.6357,Estimated
97,CHI,Channel Islands,Other,0.6658,0.6916,0.64,Estimated
98,EAP,East Asia & Pacific (excluding high income),Other,0.6637,0.694,0.6334,Estimated
99,ABW,Aruba,Other,0.6621,0.7145,0.6097,Estimated
100,AZE,Azerbaijan,Central Asia,0.661,0.7004,0.6113,Actual
101,SXM,Sint Maarten (Dutch part),Other,0.6604,0.6986,0.6222,Estimated
102,CEB,Central Europe and the Baltics,Other,0.6573,0.6747,0.64,Estimated
103,SYC,Seychelles,Other,0.6529,0.6974,0.6084,Estimated
104,COL,Colombia,South America,0.6505,0.678,0.6231,Actual
105,GUM,Guam,Other,0.6491,0.6839,0.6144,Estimated
106,PAN,Panama,Central America & Caribbean,0.6481,0.6836,0.6126,Actual
107,MUS,Mauritius,Africa,0.6453,0.6739,0.6167,Actual
108,LTE,Late-demographic dividend,Other,0.6449,0.6584,0.6314,Estimated
109,VNM,Viet Nam,East Asia,0.6426,0.6621,0.6232,Actual
110,KNA,St. Kitts and Nevis,Other,0.6424,0.6666,0.6175,Estimated
111,ECU,Ecuador,South America,0.6414,0.6731,0.6096,Actual
112,KAZ,Kazakhstan,Central Asia,0.6412,0.6791,0.6034,Actual
113,CUB,Cuba,Other,0.6374,0.6763,0.5985,Estimated
114,WLD,World,Other,0.6358,0.6485,0.6231,Estimated
115,KWT,Kuwait,Middle East,0.6358,0.6794,0.5922,Actual
116,LAC,Latin America & Caribbean (excluding high income),Other,0.6355,0.6606,0.6104,Estimated
117,TLA,Latin America & the Caribbean (IDA & IBRD countries),Other,0.6331,0.6585,0.6078,Estimated
118,LCN,Latin America & Caribbean,Other,0.6331,0.6583,0.6079,Estimated
119,MDV,Maldives,Other,0.6314,0.686,0.5768,Estimated
120,MYS,Malaysia,East Asia,0.6303,0.6498,0.6107,Actual
121,BTN,Bhutan,Other,0.6268,0.6697,0.5838,Estimated
122,VCT,St. Vincent and the Grenadines,Other,0.6247,0.6493,0.6001,Estimated
123,MNE,Montenegro,Other,0.622,0.6546,0.5893,Estimated
124,MNP,Northern Mariana Islands,Other,0.6215,0.6839,0.5592,Estimated
125,DOM,Dominican Republic,Central America & Caribbean,0.6212,0.6505,0.5919,Actual
126,GRD,Grenada,Other,0.614,0.6521,0.576,Estimated
127,MEX,Mexico,North America,0.6134,0.6335,0.5933,Actual
128,XKX,Kosovo,Other,0.6124,0.6642,0.5605,Estimated
129,PER,Peru,South America,0.6123,0.6395,0.5852,Actual
130,JAM,Jamaica,Central America & Caribbean,0.6112,0.645,0.5774,Actual
131,IBD,IBRD only,Other,0.6101,0.6372,0.583,Estimated
132,MHL,Marshall Islands,Other,0.6072,0.6453,0.569,Estimated
133,MAR,Morocco,Africa,0.6056,0.6332,0.578,Actual
134,NRU,Nauru,Other,0.605,0.6596,0.5503,Estimated
135,THA,Thailand,East Asia,0.605,0.6442,0.5657,Actual
136,BOL,Bolivia,South America,0.6025,0.6397,0.5654,Actual
137,DZA,Algeria,Other,0.602,0.6321,0.5719,Estimated
138,SUR,Suriname,Other,0.602,0.6345,0.5694,Estimated
139,UKR,Ukraine,Europe,0.6009,0.6456,0.5562,Actual
140,VGB,British Virgin Islands,Other,0.5982,0.6363,0.56,Estimated
141,TUR,Turkiye,Europe,0.5981,0.6295,0.5666,Actual
142,LCA,St. Lucia,Other,0.5981,0.6352,0.5609,Estimated
143,ATG,Antigua and Barbuda,Other,0.5955,0.6273,0.5636,Estimated
144,BWA,Botswana,Africa,0.5904,0.6239,0.5569,Actual
145,IDN,Indonesia,East Asia,0.5902,0.6169,0.5634,Actual
146,SST,Small states,Other,0.5873,0.609,0.5656,Estimated
147,ZAF,South Africa,Other,0.5842,0.6087,0.5596,Estimated
148,BHR,Bahrain,Middle East,0.5838,0.6203,0.5347,Actual
149,PYF,French Polynesia,Other,0.5825,0.6096,0.5554,Estimated
150,KGZ,Kyrgyz Republic,Central Asia,0.5787,0.6154,0.542,Actual
151,KHM,Cambodia,East Asia,0.5737,0.6102,0.5371,Actual
152,TUN,Tunisia,Africa,0.5731,0.6016,0.5446,Actual
153,TON,Tonga,Other,0.5714,0.6057,0.5371,Estimated
154,LKA,Sri Lanka,South Asia,0.5705,0.6094,0.5316,Actual
155,FSM,"Micronesia, Fed. Sts.",Other,0.5694,0.5965,0.5423,Estimated
156,CPV,Cabo Verde,Other,0.5664,0.6048,0.5281,Estimated
157,IBT,IDA & IBRD total,Other,0.5655,0.5925,0.5385,Estimated
158,FJI,Fiji,Other,0.5646,0.6041,0.5251,Estimated
159,NAM,Namibia,Africa,0.5601,0.6126,0.5076,Actual
160,MIC,Middle income,Other,0.5589,0.5715,0.5463,Estimated
161,NPL,Nepal,South Asia,0.5536,0.5979,0.5093,Actual
162,OSS,Other small states,Other,0.553,0.5709,0.5351,Estimated
163,CSS,Caribbean small states,Other,0.551,0.5698,0.5321,Estimated
164,GUY,Guyana,Other,0.5507,0.5906,0.5107,Estimated
165,JOR,Jordan,Middle East,0.5487,0.5813,0.5161,Actual
166,SLV,El Salvador,Central America & Caribbean,0.5461,0.5774,0.5147,Actual
167,LMY,Low & middle income,Other,0.5447,0.5573,0.5322,Estimated
168,TKM,Turkmenistan,Other,0.5408,0.5714,0.5102,Estimated
169,BLZ,Belize,Other,0.5402,0.5756,0.5048,Estimated
170,IMN,Isle of Man,Other,0.538,0.5499,0.5261,Estimated
171,MEA,"Middle East, North Africa, Afghanistan & Pakistan",Other,0.5372,0.5637,0.5107,Estimated
172,PHL,Philippines,East Asia,0.5367,0.5687,0.5047,Actual
173,WSM,Samoa,Other,0.5364,0.5737,0.4992,Estimated
174,LSO,Lesotho,Other,0.5323,0.5741,0.4904,Estimated
175,GAB,Gabon,Other,0.5278,0.5671,0.4885,Estimated
176,ARB,Arab World,Other,0.5276,0.5415,0.5136,Estimated
177,VUT,Vanuatu,Other,0.527,0.5681,0.4858,Estimated
178,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Other,0.5214,0.5491,0.4937,Estimated
179,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Other,0.5201,0.5476,0.4926,Estimated
180,EAR,Early-demographic dividend,Other,0.518,0.531,0.5051,Estimated
181,VEN,"Venezuela, RB",Other,0.5158,0.5708,0.4608,Estimated
182,GHA,Ghana,Africa,0.5157,0.55,0.4815,Actual
183,LAO,Lao PDR,Other,0.5122,0.5556,0.4729,Estimated
184,NIC,Nicaragua,Central America & Caribbean,0.5111,0.5454,0.4767,Actual
185,AGO,Angola,Other,0.5088,0.5669,0.449,Estimated
186,GTM,Guatemala,Central America & Caribbean,0.5076,0.5336,0.4816,Actual
187,MMR,Myanmar,Other,0.5027,0.5543,0.4511,Estimated
188,KIR,Kiribati,Other,0.5027,0.5719,0.4334,Estimated
189,IND,India,South Asia,0.5017,0.5283,0.4751,Actual
190,LMC,Lower middle income,Other,0.5002,0.5219,0.4786,Estimated
191,TJK,Tajikistan,Central Asia,0.4978,0.5556,0.4401,Actual
192,TSA,South Asia (IDA & IBRD),Other,0.4969,0.5318,0.4619,Estimated
193,SAS,South Asia,Other,0.4969,0.5318,0.4619,Estimated
194,SLB,Solomon Islands,Other,0.494,0.5426,0.4454,Estimated
195,HND,Honduras,Other,0.4936,0.5266,0.4606,Estimated
196,PSE,West Bank and Gaza,Other,0.4874,0.5219,0.453,Estimated
197,GNQ,Equatorial Guinea,Other,0.4858,0.5254,0.4382,Estimated
198,SEN,Senegal,Other,0.4857,0.5164,0.4551,Estimated
199,SWZ,Eswatini,Africa,0.4851,0.5339,0.4364,Actual
200,LBN,Lebanon,Other,0.4817,0.5361,0.4273,Estimated
201,IRQ,Iraq,Other,0.4817,0.5468,0.4167,Estimated
202,TCA,Turks and Caicos Islands,Other,0.4796,0.5841,0.3752,Estimated
203,BGD,Bangladesh,South Asia,0.4796,0.5126,0.4466,Actual
204,IRN,"Iran, Islamic Rep.",Other,0.4756,0.5205,0.4307,Estimated
205,PSS,Pacific island small states,Other,0.4705,0.4979,0.4432,Estimated
206,FCS,Fragile and conflict affected situations,Other,0.4656,0.4943,0.4369,Estimated
207,IDB,IDA blend,Other,0.459,0.4844,0.4336,Estimated
208,ZMB,Zambia,Africa,0.4528,0.4958,0.4098,Actual
209,TLS,Timor-Leste,Other,0.4516,0.5316,0.3716,Estimated
210,CIV,Cote d'Ivoire,Other,0.4503,0.4896,0.411,Estimated
211,SLE,Sierra Leone,Other,0.4498,0.5113,0.3883,Estimated
212,IDA,IDA total,Other,0.4416,0.4666,0.4165,Estimated
213,DJI,Djibouti,Other,0.4414,0.4992,0.3836,Estimated
214,GIN,Guinea,Other,0.4394,0.4889,0.39,Estimated
215,LDC,Least developed countries: UN classification,Other,0.4392,0.4677,0.4107,Estimated
216,IDX,IDA only,Other,0.4382,0.4681,0.4083,Estimated
217,TZA,Tanzania,Other,0.4366,0.4746,0.3986,Estimated
218,PRE,Pre-demographic dividend,Other,0.4361,0.4607,0.4115,Estimated
219,AFW,Africa Western and Central,Other,0.4352,0.4651,0.4053,Estimated
220,RWA,Rwanda,Africa,0.4332,0.4748,0.3917,Actual
221,STP,Sao Tome and Principe,Other,0.4331,0.4725,0.3938,Estimated
222,MWI,Malawi,Other,0.433,0.4684,0.3976,Estimated
223,SSF,Sub-Saharan Africa,Other,0.4311,0.4565,0.4056,Estimated
224,TSS,Sub-Saharan Africa (IDA & IBRD countries),Other,0.4309,0.4563,0.4055,Estimated
225,COG,"Congo, Rep.",Other,0.4308,0.4783,0.3834,Estimated
226,SSA,Sub-Saharan Africa (excluding high income),Other,0.4301,0.4532,0.4069,Estimated
227,TGO,Togo,Africa,0.4299,0.4706,0.3891,Actual
228,LBY,Libya,Other,0.4293,0.499,0.3596,Estimated
229,AFE,Africa Eastern and Southern,Other,0.4265,0.4495,0.4035,Estimated
230,HPC,Heavily indebted poor countries (HIPC),Other,0.4214,0.4466,0.3962,Estimated
231,CMR,Cameroon,Other,0.4122,0.4479,0.3765,Estimated
232,GNB,Guinea-Bissau,Other,0.4032,0.4792,0.3272,Estimated
233,HTI,Haiti,Other,0.403,0.4434,0.3626,Estimated
234,UGA,Uganda,Other,0.4022,0.4388,0.3657,Estimated
235,KEN,Kenya,Other,0.3995,0.4369,0.3621,Estimated
236,LBR,Liberia,Other,0.3993,0.4564,0.3422,Estimated
237,LIC,Low income,Other,0.3977,0.4307,0.3647,Estimated
238,BDI,Burundi,Other,0.396,0.4423,0.3533,Estimated
239,AFG,Afghanistan,Other,0.3934,0.4579,0.3336,Estimated
240,GMB,"Gambia, The",Other,0.3918,0.4367,0.3514,Estimated
241,SYR,Syrian Arab Republic,Other,0.3917,0.4226,0.3607,Estimated
242,NGA,Nigeria,Other,0.3913,0.4284,0.3543,Estimated
243,MRT,Mauritania,Other,0.3894,0.4382,0.3406,Estimated
244,MOZ,Mozambique,Africa,0.3892,0.4437,0.3347,Actual
245,PAK,Pakistan,South Asia,0.3809,0.412,0.3535,Actual
246,SDN,Sudan,Other,0.3785,0.4557,0.3013,Estimated
247,COM,Comoros,Other,0.376,0.4263,0.3258,Estimated
248,BFA,Burkina Faso,Africa,0.376,0.415,0.337,Actual
249,COD,"Congo, Dem. Rep.",Other,0.3691,0.4169,0.3169,Estimated
250,MLI,Mali,Other,0.3563,0.3911,0.3217,Estimated
251,PNG,Papua New Guinea,Other,0.3562,0.3921,0.3203,Estimated
252,ZWE,Zimbabwe,Other,0.3488,0.4126,0.285,Estimated
253,TCD,Chad,Other,0.3427,0.379,0.3088,Estimated
254,CAF,Central African Republic,Other,0.3408,0.4005,0.2811,Estimated
255,ETH,Ethiopia,Africa,0.3383,0.3937,0.2829,Actual
256,PRK,"Korea, Dem. People's Rep.",Other,0.3329,0.3779,0.2879,Estimated
257,MDG,Madagascar,Africa,0.3313,0.3733,0.2892,Actual
258,YEM,"Yemen, Rep.",Other,0.3266,0.3685,0.2848,Estimated
259,SOM,"Somalia, Fed. Rep.",Other,0.3219,0.3621,0.2818,Estimated
260,NER,Niger,Other,0.3034,0.3561,0.2507,Estimated
261,BEN,Benin,Other,0.2783,0.313,0.2634,Estimated
262,ERI,Eritrea,Other,0.272,0.3088,0.2378,Estimated
263,SSD,South Sudan,Other,0.2302,0.4091,0.137,Estimated
